Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Airline_clean,Source_clean,Duration_Minutes,Total_Stops_Num,Source_Code
Saudia,2019-03-24,Riyadh,Dubai,Riyadh → Dubai,05:45,08:35,2h 50m,non-stop,No Baggage,3527,saudia,riyadh,170,0.0,RUH
Saudia,2019-05-27,Riyadh,Jeddah,Riyadh → Jeddah,04:00,06:50,2h 50m,non-stop,Express Flight,3943,saudia,riyadh,170,0.0,RUH
Flynas,2019-05-03,Abha,Dammam,Abha → Dammam,11:40,13:55,2h 15m,non-stop,Express Flight,4667,flynas,abha,135,0.0,AHB
Saudia,2019-05-15,Dammam,Riyadh,Dammam → Riyadh,19:00,11:05,16h 5m,1 stop,Standard Stopover,6117,saudia,dammam,965,1.0,DMM
Saudia,2019-06-27,Jeddah,London,Jeddah → London,23:05,19:00,19h 55m,2 stops,No Meal,11150,saudia,jeddah,1195,2.0,JED
Saudia,2019-03-09,Jeddah,London,Jeddah → London,11:00,14:15,3h 15m,non-stop,No Meal,7202,saudia,jeddah,195,0.0,JED
Saudia,2019-05-01,Dammam,Riyadh,Dammam → Riyadh,09:35,10:55,25h 20m,1 stop,Standard Stopover,12121,saudia,dammam,1520,1.0,DMM
Saudia,2019-03-24,Riyadh,Dubai,Riyadh → Dubai,22:20,01:10,2h 50m,non-stop,Express Flight,4377,saudia,riyadh,170,0.0,RUH
Saudia,2019-06-18,Riyadh,Jeddah,Riyadh → Jeddah,21:15,00:15,3h,non-stop,Express Flight,3943,saudia,riyadh,180,0.0,RUH
Saudia,2019-04-03,Riyadh,Jeddah,Riyadh → Jeddah,23:55,02:45,2h 50m,non-stop,Express Flight,4483,saudia,riyadh,170,0.0,RUH
Saudia,2019-03-24,Dammam,Riyadh,Dammam → Riyadh,19:45,12:00,16h 15m,1 stop,Standard Stopover,14231,saudia,dammam,975,1.0,DMM
Saudia,2019-03-01,Riyadh,Dubai,Riyadh → Dubai,08:50,23:55,15h 5m,2 stops,Multi Stopover,17345,saudia,riyadh,905,2.0,RUH
Flynas,2019-03-06,Abha,Dammam,Abha → Dammam,07:05,09:20,2h 15m,non-stop,Express Flight,7414,flynas,abha,135,0.0,AHB
Saudia,2019-05-06,Jeddah,London,Jeddah → London,19:00,01:30,6h 30m,1 stop,Standard Stopover,8073,saudia,jeddah,390,1.0,JED
Saudia,2019-03-06,Medina,Cairo,Medina → Cairo,15:40,16:45,25h 5m,1 stop,Standard Stopover,12395,saudia,medina,1505,1.0,MED
Saudia,2019-06-06,Dammam,Riyadh,Dammam → Riyadh,09:25,21:50,12h 25m,1 stop,Standard Stopover,8366,saudia,dammam,745,1.0,DMM
Saudia,2019-04-03,Jeddah,London,Jeddah → London,06:05,09:25,27h 20m,1 stop,Standard Stopover,5117,saudia,jeddah,1640,1.0,JED
Saudia,2019-06-03,Jeddah,London,Jeddah → London,08:45,19:00,10h 15m,1 stop,Standard Stopover,12524,saudia,jeddah,615,1.0,JED
Saudia,2019-05-15,Jeddah,London,Jeddah → London,15:00,01:30,10h 30m,1 stop,Standard Stopover,7191,saudia,jeddah,630,1.0,JED
Flynas,2019-05-24,Abha,Dammam,Abha → Dammam,07:05,09:20,2h 15m,non-stop,Express Flight,3687,flynas,abha,135,0.0,AHB
Saudia,2019-06-24,Jeddah,London,Jeddah → London,10:35,21:00,10h 25m,1 stop,Standard Stopover,5894,saudia,jeddah,625,1.0,JED
Saudia,2019-04-24,Riyadh,Jeddah,Riyadh → Jeddah,09:45,12:35,2h 50m,non-stop,Express Flight,5403,saudia,riyadh,170,0.0,RUH
Saudia,2019-05-06,Medina,Cairo,Medina → Cairo,13:55,15:25,1h 30m,non-stop,Express Flight,3625,saudia,medina,90,0.0,MED
Saudia,2019-05-21,Jeddah,London,Jeddah → London,05:55,19:15,13h 20m,2 stops,Multi Stopover,10861,saudia,jeddah,800,2.0,JED
Flynas,2019-03-12,Abha,Dammam,Abha → Dammam,13:20,15:35,2h 15m,non-stop,Express Flight,6297,flynas,abha,135,0.0,AHB
Saudia,2019-06-01,Medina,Cairo,Medina → Cairo,07:05,08:30,1h 25m,non-stop,Express Flight,5678,saudia,medina,85,0.0,MED
Saudia,2019-03-09,Riyadh,Dubai,Riyadh → Dubai,05:45,08:15,26h 30m,1 stop,No Meal,9134,saudia,riyadh,1590,1.0,RUH
Saudia,2019-06-24,Jeddah,London,Jeddah → London,11:40,19:00,7h 20m,1 stop,No Meal,10791,saudia,jeddah,440,1.0,JED
Saudia,2019-06-24,Jeddah,London,Jeddah → London,23:05,12:35,13h 30m,2 stops,Multi Stopover,12819,saudia,jeddah,810,2.0,JED
Saudia,2019-03-21,Jeddah,London,Jeddah → London,05:05,10:05,5h,1 stop,Standard Stopover,6893,saudia,jeddah,300,1.0,JED
Saudia,2019-03-09,Riyadh,Dubai,Riyadh → Dubai,09:50,12:35,2h 45m,non-stop,Express Flight,7240,saudia,riyadh,165,0.0,RUH
Saudia,2019-04-03,Riyadh,Jeddah,Riyadh → Jeddah,11:40,14:30,2h 50m,non-stop,Express Flight,3898,saudia,riyadh,170,0.0,RUH
Saudia,2019-04-03,Medina,Cairo,Medina → Cairo,06:25,07:55,1h 30m,non-stop,Express Flight,4049,saudia,medina,90,0.0,MED
Saudia,2019-06-15,Jeddah,London,Jeddah → London,17:30,12:35,19h 5m,1 stop,No Meal,10262,saudia,jeddah,1145,1.0,JED
Flynas,2019-03-21,Abha,Dammam,Abha → Dammam,08:20,10:35,2h 15m,non-stop,No Baggage,3332,flynas,abha,135,0.0,AHB
Saudia,2019-06-09,Dammam,Riyadh,Dammam → Riyadh,21:10,12:00,14h 50m,1 stop,No Meal,10844,saudia,dammam,890,1.0,DMM
Saudia,2019-03-24,Riyadh,Dubai,Riyadh → Dubai,19:55,22:35,2h 40m,non-stop,Express Flight,7229,saudia,riyadh,160,0.0,RUH
Saudia,2019-05-06,Dammam,Riyadh,Dammam → Riyadh,06:30,04:40,22h 10m,1 stop,Standard Stopover,13941,saudia,dammam,1330,1.0,DMM
Saudia,2019-06-27,Jeddah,London,Jeddah → London,11:25,21:00,9h 35m,1 stop,Standard Stopover,5894,saudia,jeddah,575,1.0,JED
Saudia,2019-05-18,Jeddah,London,Jeddah → London,09:00,19:00,10h,1 stop,Standard Stopover,10197,saudia,jeddah,600,1.0,JED
Saudia,2019-03-06,Riyadh,Dubai,Riyadh → Dubai,14:05,11:25,21h 20m,1 stop,No Meal,13712,saudia,riyadh,1280,1.0,RUH
Saudia,2019-06-24,Jeddah,London,Jeddah → London,02:00,07:25,5h 25m,1 stop,Standard Stopover,5636,saudia,jeddah,325,1.0,JED
Saudia,2019-06-06,Jeddah,London,Jeddah → London,09:40,04:25,18h 45m,2 stops,Multi Stopover,13014,saudia,jeddah,1125,2.0,JED
Saudia,2019-04-01,Dammam,Riyadh,Dammam → Riyadh,08:25,20:45,12h 20m,1 stop,No Meal,7064,saudia,dammam,740,1.0,DMM
Saudia,2019-05-24,Dammam,Riyadh,Dammam → Riyadh,20:25,14:25,18h,1 stop,No Meal,10703,saudia,dammam,1080,1.0,DMM
Saudia,2019-05-27,Jeddah,London,Jeddah → London,13:15,22:30,9h 15m,1 stop,Standard Stopover,9646,saudia,jeddah,555,1.0,JED
Saudia,2019-03-06,Jeddah,London,Jeddah → London,02:15,13:20,11h 5m,1 stop,Standard Stopover,17057,saudia,jeddah,665,1.0,JED
Saudia,2019-03-12,Riyadh,Dubai,Riyadh → Dubai,16:55,10:25,17h 30m,1 stop,Standard Stopover,13817,saudia,riyadh,1050,1.0,RUH
Saudia,2019-03-06,Jeddah,London,Jeddah → London,05:55,19:15,13h 20m,2 stops,Multi Stopover,13748,saudia,jeddah,800,2.0,JED
Saudia,2019-04-21,Dammam,Riyadh,Dammam → Riyadh,20:45,23:20,2h 35m,non-stop,Express Flight,4880,saudia,dammam,155,0.0,DMM
Flynas,2019-06-21,Abha,Dammam,Abha → Dammam,05:15,07:40,2h 25m,non-stop,Express Flight,3540,flynas,abha,145,0.0,AHB
Saudia,2019-05-15,Riyadh,Jeddah,Riyadh → Jeddah,05:55,08:35,2h 40m,non-stop,No Baggage,3257,saudia,riyadh,160,0.0,RUH
Saudia,2019-06-03,Riyadh,Jeddah,Riyadh → Jeddah,19:50,22:50,3h,non-stop,No Meal,6478,saudia,riyadh,180,0.0,RUH
Saudia,2019-06-18,Medina,Cairo,Medina → Cairo,07:05,08:30,1h 25m,non-stop,Express Flight,8040,saudia,medina,85,0.0,MED
Saudia,2019-06-12,Jeddah,London,Jeddah → London,20:00,12:35,16h 35m,2 stops,Multi Stopover,14300,saudia,jeddah,995,2.0,JED
Saudia,2019-05-15,Dammam,Riyadh,Dammam → Riyadh,08:25,20:45,12h 20m,1 stop,Standard Stopover,14781,saudia,dammam,740,1.0,DMM
Saudia,2019-06-09,Dammam,Riyadh,Dammam → Riyadh,20:00,08:15,12h 15m,1 stop,Standard Stopover,14939,saudia,dammam,735,1.0,DMM
Saudia,2019-06-24,Jeddah,London,Jeddah → London,20:55,04:25,7h 30m,1 stop,No Meal,10262,saudia,jeddah,450,1.0,JED
Saudia,2019-05-12,Dammam,Riyadh,Dammam → Riyadh,14:35,14:35,24h,1 stop,Standard Stopover,6528,saudia,dammam,1440,1.0,DMM
Saudia,2019-05-01,Riyadh,Jeddah,Riyadh → Jeddah,06:10,08:55,2h 45m,non-stop,Express Flight,6121,saudia,riyadh,165,0.0,RUH
Saudia,2019-05-18,Jeddah,London,Jeddah → London,19:30,04:25,8h 55m,2 stops,No Meal,13029,saudia,jeddah,535,2.0,JED
Saudia,2019-03-27,Jeddah,London,Jeddah → London,11:40,18:50,7h 10m,1 stop,Standard Stopover,11421,saudia,jeddah,430,1.0,JED
Saudia,2019-03-27,Jeddah,London,Jeddah → London,04:45,19:15,14h 30m,1 stop,Standard Stopover,7574,saudia,jeddah,870,1.0,JED
Saudia,2019-05-09,Jeddah,London,Jeddah → London,12:55,19:15,30h 20m,2 stops,Multi Stopover,11596,saudia,jeddah,1820,2.0,JED
Saudia,2019-05-24,Jeddah,London,Jeddah → London,23:05,19:00,19h 55m,2 stops,Multi Stopover,15129,saudia,jeddah,1195,2.0,JED
Saudia,2019-03-18,Riyadh,Dubai,Riyadh → Dubai,14:05,05:05,15h,1 stop,Standard Stopover,13555,saudia,riyadh,900,1.0,RUH
Saudia,2019-04-12,Riyadh,Jeddah,Riyadh → Jeddah,18:55,21:50,2h 55m,non-stop,Express Flight,5780,saudia,riyadh,175,0.0,RUH
Saudia,2019-05-12,Dammam,Riyadh,Dammam → Riyadh,20:20,09:05,12h 45m,1 stop,Standard Stopover,9397,saudia,dammam,765,1.0,DMM
Saudia,2019-03-06,Jeddah,London,Jeddah → London,18:15,04:25,10h 10m,1 stop,Standard Stopover,17024,saudia,jeddah,610,1.0,JED
Saudia,2019-06-27,Jeddah,London,Jeddah → London,07:00,12:55,5h 55m,1 stop,Standard Stopover,5281,saudia,jeddah,355,1.0,JED
Saudia,2019-05-18,Jeddah,London,Jeddah → London,07:05,22:30,15h 25m,1 stop,Standard Stopover,10348,saudia,jeddah,925,1.0,JED
Saudia,2019-03-06,Jeddah,London,Jeddah → London,17:20,09:25,16h 5m,1 stop,Standard Stopover,12677,saudia,jeddah,965,1.0,JED
Saudia,2019-03-03,Jeddah,London,Jeddah → London,15:25,01:35,10h 10m,1 stop,Standard Stopover,15147,saudia,jeddah,610,1.0,JED
Saudia,2019-06-12,Riyadh,Jeddah,Riyadh → Jeddah,07:00,09:40,2h 40m,non-stop,Express Flight,4668,saudia,riyadh,160,0.0,RUH
Saudia,2019-05-09,Jeddah,London,Jeddah → London,07:05,19:00,11h 55m,1 stop,Standard Stopover,15554,saudia,jeddah,715,1.0,JED
Saudia,2019-04-09,Riyadh,Jeddah,Riyadh → Jeddah,05:55,08:35,2h 40m,non-stop,Express Flight,3971,saudia,riyadh,160,0.0,RUH
Saudia,2019-05-03,Medina,Cairo,Medina → Cairo,15:00,16:25,1h 25m,non-stop,Express Flight,3100,saudia,medina,85,0.0,MED
Saudia,2019-05-06,Dammam,Riyadh,Dammam → Riyadh,20:00,10:05,14h 5m,1 stop,No Meal,9663,saudia,dammam,845,1.0,DMM
Saudia,2019-03-01,Jeddah,London,Jeddah → London,23:00,19:15,20h 15m,1 stop,Standard Stopover,27430,saudia,jeddah,1215,1.0,JED
Flynas,2019-05-12,Abha,Dammam,Abha → Dammam,05:15,07:40,2h 25m,non-stop,Express Flight,3540,flynas,abha,145,0.0,AHB
Saudia,2019-05-21,Dammam,Riyadh,Dammam → Riyadh,12:00,11:10,23h 10m,2 stops,Multi Stopover,10676,saudia,dammam,1390,2.0,DMM
Saudia,2019-06-12,Dammam,Riyadh,Dammam → Riyadh,14:05,08:15,18h 10m,1 stop,Standard Stopover,13044,saudia,dammam,1090,1.0,DMM
Saudia,2019-05-06,Dammam,Riyadh,Dammam → Riyadh,20:00,12:00,16h,1 stop,Standard Stopover,14388,saudia,dammam,960,1.0,DMM
Saudia,2019-06-24,Riyadh,Jeddah,Riyadh → Jeddah,04:00,06:50,2h 50m,non-stop,Express Flight,3943,saudia,riyadh,170,0.0,RUH
Flynas,2019-06-03,Abha,Dammam,Abha → Dammam,14:45,17:05,2h 20m,non-stop,Express Flight,3597,flynas,abha,140,0.0,AHB
Saudia,2019-03-21,Riyadh,Dubai,Riyadh → Dubai,11:50,19:50,8h,1 stop,Standard Stopover,5932,saudia,riyadh,480,1.0,RUH
Saudia,2019-06-15,Jeddah,London,Jeddah → London,11:30,04:25,16h 55m,1 stop,No Meal,10262,saudia,jeddah,1015,1.0,JED
Saudia,2019-05-12,Jeddah,London,Jeddah → London,14:40,17:50,3h 10m,non-stop,Express Flight,6216,saudia,jeddah,190,0.0,JED
Saudia,2019-06-15,Dammam,Riyadh,Dammam → Riyadh,20:25,23:10,2h 45m,non-stop,Express Flight,4804,saudia,dammam,165,0.0,DMM
Saudia,2019-05-21,Jeddah,London,Jeddah → London,11:30,01:30,14h,1 stop,Standard Stopover,14067,saudia,jeddah,840,1.0,JED
Saudia,2019-05-18,Jeddah,London,Jeddah → London,19:10,19:00,23h 50m,2 stops,Multi Stopover,15129,saudia,jeddah,1430,2.0,JED
Saudia,2019-06-06,Jeddah,London,Jeddah → London,06:45,04:25,21h 40m,2 stops,Multi Stopover,13376,saudia,jeddah,1300,2.0,JED
Saudia,2019-06-27,Jeddah,London,Jeddah → London,22:00,19:15,21h 15m,2 stops,Multi Stopover,10441,saudia,jeddah,1275,2.0,JED
Saudia,2019-05-24,Riyadh,Jeddah,Riyadh → Jeddah,06:00,08:45,2h 45m,non-stop,No Meal,4030,saudia,riyadh,165,0.0,RUH
Saudia,2019-03-03,Jeddah,London,Jeddah → London,08:00,18:50,10h 50m,1 stop,Standard Stopover,17024,saudia,jeddah,650,1.0,JED
Saudia,2019-04-09,Jeddah,London,Jeddah → London,17:30,01:30,8h,1 stop,Standard Stopover,13017,saudia,jeddah,480,1.0,JED
Saudia,2019-06-06,Dammam,Riyadh,Dammam → Riyadh,23:30,07:45,8h 15m,1 stop,Standard Stopover,6686,saudia,dammam,495,1.0,DMM
Saudia,2019-06-15,Jeddah,London,Jeddah → London,02:00,07:25,5h 25m,1 stop,Standard Stopover,5636,saudia,jeddah,325,1.0,JED
Saudia,2019-06-09,Jeddah,London,Jeddah → London,07:35,16:10,8h 35m,1 stop,Standard Stopover,6442,saudia,jeddah,515,1.0,JED
Saudia,2019-05-21,Jeddah,London,Jeddah → London,13:05,00:55,11h 50m,1 stop,Standard Stopover,9486,saudia,jeddah,710,1.0,JED
Saudia,2019-05-21,Dammam,Riyadh,Dammam → Riyadh,20:00,23:35,27h 35m,1 stop,No Meal,10844,saudia,dammam,1655,1.0,DMM
Saudia,2019-06-03,Jeddah,London,Jeddah → London,20:00,04:25,8h 25m,2 stops,No Meal,15318,saudia,jeddah,505,2.0,JED
Saudia,2019-04-03,Jeddah,London,Jeddah → London,12:30,09:25,20h 55m,1 stop,Standard Stopover,5117,saudia,jeddah,1255,1.0,JED
Saudia,2019-06-24,Jeddah,London,Jeddah → London,15:10,20:00,4h 50m,1 stop,Standard Stopover,6147,saudia,jeddah,290,1.0,JED
Saudia,2019-06-09,Jeddah,London,Jeddah → London,12:50,21:00,8h 10m,1 stop,Standard Stopover,7005,saudia,jeddah,490,1.0,JED
Saudia,2019-04-03,Dammam,Riyadh,Dammam → Riyadh,22:20,00:40,2h 20m,non-stop,Express Flight,3873,saudia,dammam,140,0.0,DMM
Saudia,2019-03-21,Jeddah,London,Jeddah → London,18:25,18:50,24h 25m,2 stops,No Meal,9270,saudia,jeddah,1465,2.0,JED
Saudia,2019-06-27,Riyadh,Jeddah,Riyadh → Jeddah,11:40,14:30,2h 50m,non-stop,Express Flight,3898,saudia,riyadh,170,0.0,RUH
Saudia,2019-05-12,Dammam,Riyadh,Dammam → Riyadh,08:25,20:45,12h 20m,1 stop,Standard Stopover,14781,saudia,dammam,740,1.0,DMM
Saudia,2019-05-24,Dammam,Riyadh,Dammam → Riyadh,20:00,08:15,12h 15m,1 stop,No Meal,8586,saudia,dammam,735,1.0,DMM
Saudia,2019-05-09,Dammam,Riyadh,Dammam → Riyadh,08:20,07:55,23h 35m,2 stops,Multi Stopover,10697,saudia,dammam,1415,2.0,DMM
Saudia,2019-06-27,Jeddah,London,Jeddah → London,20:00,12:35,16h 35m,2 stops,Multi Stopover,14300,saudia,jeddah,995,2.0,JED
Saudia,2019-03-03,Riyadh,Dubai,Riyadh → Dubai,18:55,21:45,2h 50m,non-stop,Express Flight,8855,saudia,riyadh,170,0.0,RUH
Saudia,2019-05-12,Dammam,Riyadh,Dammam → Riyadh,16:30,18:15,25h 45m,1 stop,No Meal,10844,saudia,dammam,1545,1.0,DMM
Saudia,2019-03-06,Jeddah,London,Jeddah → London,02:15,04:25,26h 10m,1 stop,Standard Stopover,17024,saudia,jeddah,1570,1.0,JED
Saudia,2019-05-01,Dammam,Riyadh,Dammam → Riyadh,09:35,14:25,28h 50m,1 stop,No Meal,9314,saudia,dammam,1730,1.0,DMM
Saudia,2019-03-24,Riyadh,Dubai,Riyadh → Dubai,00:40,03:25,2h 45m,non-stop,Express Flight,4777,saudia,riyadh,165,0.0,RUH
Saudia,2019-06-09,Dammam,Riyadh,Dammam → Riyadh,12:00,13:15,25h 15m,1 stop,Standard Stopover,7662,saudia,dammam,1515,1.0,DMM
Saudia,2019-05-09,Jeddah,London,Jeddah → London,06:50,16:10,9h 20m,1 stop,Standard Stopover,6442,saudia,jeddah,560,1.0,JED
Saudia,2019-06-12,Jeddah,London,Jeddah → London,08:45,13:15,4h 30m,1 stop,Standard Stopover,5264,saudia,jeddah,270,1.0,JED
Saudia,2019-05-27,Jeddah,London,Jeddah → London,13:00,04:25,15h 25m,1 stop,No Meal,12898,saudia,jeddah,925,1.0,JED
Saudia,2019-03-03,Medina,Cairo,Medina → Cairo,13:55,15:25,1h 30m,non-stop,Express Flight,6092,saudia,medina,90,0.0,MED
Saudia,2019-05-21,Riyadh,Jeddah,Riyadh → Jeddah,05:55,08:35,2h 40m,non-stop,Express Flight,3311,saudia,riyadh,160,0.0,RUH
Saudia,2019-03-27,Jeddah,London,Jeddah → London,19:15,04:25,9h 10m,1 stop,No Meal,6540,saudia,jeddah,550,1.0,JED
Saudia,2019-05-27,Riyadh,Jeddah,Riyadh → Jeddah,01:30,04:15,2h 45m,non-stop,Express Flight,3419,saudia,riyadh,165,0.0,RUH
Saudia,2019-04-03,Jeddah,London,Jeddah → London,14:00,12:35,22h 35m,1 stop,No Meal,5177,saudia,jeddah,1355,1.0,JED
Saudia,2019-04-18,Jeddah,London,Jeddah → London,18:05,21:10,3h 5m,non-stop,Express Flight,8246,saudia,jeddah,185,0.0,JED
Saudia,2019-06-09,Dammam,Riyadh,Dammam → Riyadh,09:35,21:05,11h 30m,1 stop,Standard Stopover,14676,saudia,dammam,690,1.0,DMM
Saudia,2019-06-27,Jeddah,London,Jeddah → London,11:30,21:00,9h 30m,1 stop,Standard Stopover,13587,saudia,jeddah,570,1.0,JED
Saudia,2019-05-06,Dammam,Riyadh,Dammam → Riyadh,21:10,09:20,12h 10m,1 stop,No Meal,9663,saudia,dammam,730,1.0,DMM
Saudia,2019-06-12,Dammam,Riyadh,Dammam → Riyadh,16:30,10:05,17h 35m,1 stop,Standard Stopover,13044,saudia,dammam,1055,1.0,DMM
