Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
1,18/06/2019,3,4,MAA → CCU,07:05,09:20,2h 15m,0,No info,3687
1,1/05/2019,1,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,13h 25m,2,No info,13227
0,6/04/2019,4,0,BLR → DEL,04:00,06:50,2h 50m,0,No info,4423
2,15/06/2019,0,1,DEL → NAG → BOM → COK,14:35,12:35 16 Jun,22h,2,In-flight meal not included,10919
2,18/05/2019,0,1,DEL → BOM → COK,07:05,12:35,5h 30m,1,In-flight meal not included,12373
0,27/06/2019,0,1,DEL → BOM → COK,10:35,21:00,10h 25m,1,No info,5894
0,21/05/2019,1,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1,No info,4649
1,18/05/2019,1,Banglore,CCU → BLR,14:15,16:45,2h 30m,0,No info,6245
2,06/03/2019,4,2,BLR → BOM → DEL,07:00,13:15,6h 15m,1,No info,19225
2,3/06/2019,0,1,DEL → BOM → COK,07:05,19:00,11h 55m,1,No info,14924
3,21/05/2019,0,1,DEL → HYD → COK,07:05,18:10,11h 5m,1,No info,9646
1,15/03/2019,4,2,BLR → BOM → DEL,06:45,15:15,8h 30m,1,No info,8714
2,18/05/2019,0,1,DEL → BOM → COK,20:55,19:00 19 May,22h 5m,1,In-flight meal not included,12373
4,6/05/2019,4,0,BLR → DEL,11:10,13:55,2h 45m,0,No info,3383
3,21/03/2019,0,1,DEL → BOM → COK,09:00,21:00,12h,1,No info,13062
0,24/03/2019,4,2,BLR → DEL,05:45,08:35,2h 50m,0,No check-in baggage included,3527
0,27/05/2019,4,0,BLR → DEL,04:00,06:50,2h 50m,0,No info,3943
1,3/05/2019,3,4,MAA → CCU,11:40,13:55,2h 15m,0,No info,4667
1,15/05/2019,1,Banglore,CCU → HYD → BLR,19:00,11:05 16 May,16h 5m,1,No info,6117
2,27/06/2019,0,1,DEL → AMD → BOM → COK,23:05,19:00 28 Jun,19h 55m,2,In-flight meal not included,11150
2,9/03/2019,0,1,DEL → COK,11:00,14:15,3h 15m,0,In-flight meal not included,7202
2,1/05/2019,1,Banglore,CCU → DEL → BLR,09:35,10:55 02 May,25h 20m,1,No info,12121
0,24/03/2019,4,2,BLR → DEL,22:20,01:10 28 Mar,2h 50m,0,No info,4377
0,18/06/2019,4,0,BLR → DEL,21:15,00:15 19 Jun,3h,0,No info,3943
4,3/04/2019,4,0,BLR → DEL,23:55,02:45 04 Apr,2h 50m,0,No info,4483
2,24/03/2019,1,Banglore,CCU → BOM → BLR,19:45,12:00 25 Mar,16h 15m,1,No info,14231
1,01/03/2019,4,2,BLR → BOM → AMD → DEL,08:50,23:55,15h 5m,2,No info,17345
1,6/03/2019,3,4,MAA → CCU,07:05,09:20,2h 15m,0,No info,7414
3,6/05/2019,0,1,DEL → BOM → COK,19:00,01:30 07 May,6h 30m,1,No info,8073
1,6/03/2019,2,3,BOM → DEL → HYD,15:40,16:45 07 Mar,25h 5m,1,No info,12395
1,6/06/2019,1,Banglore,CCU → BOM → BLR,09:25,21:50,12h 25m,1,No info,8366
1,3/04/2019,0,1,DEL → MAA → COK,06:05,09:25 04 Apr,27h 20m,1,No info,5117
3,3/06/2019,0,1,DEL → BOM → COK,08:45,19:00,10h 15m,1,No info,12524
0,15/05/2019,0,1,DEL → BOM → COK,15:00,01:30 16 May,10h 30m,1,No info,7191
1,24/05/2019,3,4,MAA → CCU,07:05,09:20,2h 15m,0,No info,3687
0,24/06/2019,0,1,DEL → BOM → COK,10:35,21:00,10h 25m,1,No info,5894
1,24/04/2019,4,0,BLR → DEL,09:45,12:35,2h 50m,0,No info,5403
1,6/05/2019,2,3,BOM → HYD,13:55,15:25,1h 30m,0,No info,3625
1,21/05/2019,0,1,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2,No info,10861
0,12/03/2019,3,4,MAA → CCU,13:20,15:35,2h 15m,0,No info,6297
2,1/06/2019,2,3,BOM → HYD,07:05,08:30,1h 25m,0,No info,5678
2,09/03/2019,4,2,BLR → BOM → DEL,05:45,08:15 13 Mar,26h 30m,1,In-flight meal not included,9134
3,24/06/2019,0,1,DEL → BOM → COK,11:40,19:00,7h 20m,1,In-flight meal not included,10791
2,24/06/2019,0,1,DEL → AMD → BOM → COK,23:05,12:35 25 Jun,13h 30m,2,No info,12819
0,21/03/2019,0,1,DEL → BLR → COK,05:05,10:05,5h,1,No info,6893
1,09/03/2019,4,2,BLR → DEL,09:50,12:35,2h 45m,0,No info,7240
2,3/04/2019,4,0,BLR → DEL,11:40,14:30,2h 50m,0,No info,3898
0,3/04/2019,2,3,BOM → HYD,06:25,07:55,1h 30m,0,No info,4049
2,15/06/2019,0,1,DEL → BOM → COK,17:30,12:35 16 Jun,19h 5m,1,In-flight meal not included,10262
0,21/03/2019,3,4,MAA → CCU,08:20,10:35,2h 15m,0,No check-in baggage included,3332
2,9/06/2019,1,Banglore,CCU → BOM → BLR,21:10,12:00 10 Jun,14h 50m,1,In-flight meal not included,10844
2,24/03/2019,4,2,BLR → DEL,19:55,22:35,2h 40m,0,No info,7229
2,6/05/2019,1,Banglore,CCU → BOM → BLR,06:30,04:40 07 May,22h 10m,1,No info,13941
0,27/06/2019,0,1,DEL → BOM → COK,11:25,21:00,9h 35m,1,No info,5894
3,18/05/2019,0,1,DEL → BOM → COK,09:00,19:00,10h,1,No info,10197
2,06/03/2019,4,2,BLR → BOM → DEL,14:05,11:25 07 Mar,21h 20m,1,In-flight meal not included,13712
0,24/06/2019,0,1,DEL → MAA → COK,02:00,07:25,5h 25m,1,No info,5636
2,6/06/2019,0,1,DEL → JAI → BOM → COK,09:40,04:25 07 Jun,18h 45m,2,No info,13014
2,1/04/2019,1,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1,In-flight meal not included,7064
2,24/05/2019,1,Banglore,CCU → DEL → BLR,20:25,14:25 25 May,18h,1,In-flight meal not included,10703
3,27/05/2019,0,1,DEL → HYD → COK,13:15,22:30,9h 15m,1,No info,9646
3,6/03/2019,0,1,DEL → BOM → COK,02:15,13:20,11h 5m,1,No info,17057
2,12/03/2019,4,2,BLR → BOM → DEL,16:55,10:25 13 Mar,17h 30m,1,No info,13817
1,6/03/2019,0,1,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2,No info,13748
1,21/04/2019,1,Banglore,CCU → BLR,20:45,23:20,2h 35m,0,No info,4880
0,21/06/2019,3,4,MAA → CCU,05:15,07:40,2h 25m,0,No info,3540
0,15/05/2019,4,0,BLR → DEL,05:55,08:35,2h 40m,0,No check-in baggage included,3257
2,3/06/2019,4,0,BLR → DEL,19:50,22:50,3h,0,In-flight meal not included,6478
2,18/06/2019,2,3,BOM → HYD,07:05,08:30,1h 25m,0,No info,8040
2,12/06/2019,0,1,DEL → ATQ → BOM → COK,20:00,12:35 13 Jun,16h 35m,2,No info,14300
2,15/05/2019,1,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1,No info,14781
2,9/06/2019,1,Banglore,CCU → BOM → BLR,20:00,08:15 10 Jun,12h 15m,1,No info,14939
2,24/06/2019,0,1,DEL → BOM → COK,20:55,04:25 25 Jun,7h 30m,1,In-flight meal not included,10262
1,12/05/2019,1,Banglore,CCU → MAA → BLR,14:35,14:35 13 May,24h,1,No info,6528
1,1/05/2019,4,0,BLR → DEL,06:10,08:55,2h 45m,0,No info,6121
2,18/05/2019,0,1,DEL → JAI → BOM → COK,19:30,04:25 19 May,8h 55m,2,In-flight meal not included,13029
3,27/03/2019,0,1,DEL → BOM → COK,11:40,18:50,7h 10m,1,No info,11421
3,27/03/2019,0,1,DEL → BOM → COK,04:45,19:15,14h 30m,1,No info,7574
1,9/05/2019,0,1,DEL → JDH → BOM → COK,12:55,19:15 10 May,30h 20m,2,No info,11596
2,24/05/2019,0,1,DEL → AMD → BOM → COK,23:05,19:00 25 May,19h 55m,2,No info,15129
2,18/03/2019,4,2,BLR → BOM → DEL,14:05,05:05 16 Mar,15h,1,No info,13555
0,12/04/2019,4,0,BLR → DEL,18:55,21:50,2h 55m,0,No info,5780
1,12/05/2019,1,Banglore,CCU → DEL → BLR,20:20,09:05 13 May,12h 45m,1,No info,9397
2,6/03/2019,0,1,DEL → BOM → COK,18:15,04:25 07 Mar,10h 10m,1,No info,17024
2,27/06/2019,0,1,DEL → BOM → COK,07:00,12:55,5h 55m,1,No info,5281
3,18/05/2019,0,1,DEL → HYD → COK,07:05,22:30,15h 25m,1,No info,10348
1,6/03/2019,0,1,DEL → MAA → COK,17:20,09:25 07 Mar,16h 5m,1,No info,12677
3,3/03/2019,0,1,DEL → BOM → COK,15:25,01:35 04 Mar,10h 10m,1,No info,15147
1,12/06/2019,4,0,BLR → DEL,07:00,09:40,2h 40m,0,No info,4668
2,9/05/2019,0,1,DEL → BOM → COK,07:05,19:00,11h 55m,1,No info,15554
0,9/04/2019,4,0,BLR → DEL,05:55,08:35,2h 40m,0,No info,3971
1,3/05/2019,2,3,BOM → HYD,15:00,16:25,1h 25m,0,No info,3100
2,6/05/2019,1,Banglore,CCU → BOM → BLR,20:00,10:05 07 May,14h 5m,1,In-flight meal not included,9663
1,1/03/2019,0,1,DEL → BOM → COK,23:00,19:15 02 Mar,20h 15m,1,No info,27430
0,12/05/2019,3,4,MAA → CCU,05:15,07:40,2h 25m,0,No info,3540
1,21/05/2019,1,Banglore,CCU → BBI → BOM → BLR,12:00,11:10 22 May,23h 10m,2,No info,10676
2,12/06/2019,1,Banglore,CCU → BOM → BLR,14:05,08:15 13 Jun,18h 10m,1,No info,13044
2,6/05/2019,1,Banglore,CCU → BOM → BLR,20:00,12:00 07 May,16h,1,No info,14388
0,24/06/2019,4,0,BLR → DEL,04:00,06:50,2h 50m,0,No info,3943
0,3/06/2019,3,4,MAA → CCU,14:45,17:05,2h 20m,0,No info,3597
1,21/03/2019,4,2,BLR → MAA → DEL,11:50,19:50,8h,1,No info,5932
2,15/06/2019,0,1,DEL → BOM → COK,11:30,04:25 16 Jun,16h 55m,1,In-flight meal not included,10262
1,12/05/2019,0,1,DEL → COK,14:40,17:50,3h 10m,0,No info,6216
0,15/06/2019,1,Banglore,CCU → BLR,20:25,23:10,2h 45m,0,No info,4804
3,21/05/2019,0,1,DEL → BOM → COK,11:30,01:30 22 May,14h,1,No info,14067
2,18/05/2019,0,1,DEL → AMD → BOM → COK,19:10,19:00 19 May,23h 50m,2,No info,15129
2,6/06/2019,0,1,DEL → NAG → BOM → COK,06:45,04:25 07 Jun,21h 40m,2,No info,13376
1,27/06/2019,0,1,DEL → GOI → BOM → COK,22:00,19:15 28 Jun,21h 15m,2,No info,10441
2,24/05/2019,4,0,BLR → DEL,06:00,08:45,2h 45m,0,In-flight meal not included,4030
2,3/03/2019,0,1,DEL → BOM → COK,08:00,18:50,10h 50m,1,No info,17024
3,9/04/2019,0,1,DEL → BOM → COK,17:30,01:30 10 Apr,8h,1,No info,13017
2,6/06/2019,1,Banglore,CCU → BOM → BLR,23:30,07:45 07 Jun,8h 15m,1,No info,6686
0,15/06/2019,0,1,DEL → MAA → COK,02:00,07:25,5h 25m,1,No info,5636
0,9/06/2019,0,1,DEL → HYD → COK,07:35,16:10,8h 35m,1,No info,6442
3,21/05/2019,0,1,DEL → HYD → COK,13:05,00:55 22 May,11h 50m,1,No info,9486
2,21/05/2019,1,Banglore,CCU → BOM → BLR,20:00,23:35 22 May,27h 35m,1,In-flight meal not included,10844
2,3/06/2019,0,1,DEL → ATQ → BOM → COK,20:00,04:25 04 Jun,8h 25m,2,In-flight meal not included,15318
1,3/04/2019,0,1,DEL → MAA → COK,12:30,09:25 04 Apr,20h 55m,1,No info,5117
0,24/06/2019,0,1,DEL → BLR → COK,15:10,20:00,4h 50m,1,No info,6147
3,9/06/2019,0,1,DEL → BOM → COK,12:50,21:00,8h 10m,1,No info,7005
0,3/04/2019,1,Banglore,CCU → BLR,22:20,00:40 04 Apr,2h 20m,0,No info,3873
2,21/03/2019,0,1,DEL → BDQ → BOM → COK,18:25,18:50 22 Mar,24h 25m,2,In-flight meal not included,9270
2,27/06/2019,4,0,BLR → DEL,11:40,14:30,2h 50m,0,No info,3898
2,12/05/2019,1,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1,No info,14781
2,24/05/2019,1,Banglore,CCU → BOM → BLR,20:00,08:15 25 May,12h 15m,1,In-flight meal not included,8586
1,9/05/2019,1,Banglore,CCU → JAI → BOM → BLR,08:20,07:55 10 May,23h 35m,2,No info,10697
2,27/06/2019,0,1,DEL → ATQ → BOM → COK,20:00,12:35 28 Jun,16h 35m,2,No info,14300
0,03/03/2019,4,2,BLR → DEL,18:55,21:45,2h 50m,0,No info,8855
2,12/05/2019,1,Banglore,CCU → BOM → BLR,16:30,18:15 13 May,25h 45m,1,In-flight meal not included,10844
2,6/03/2019,0,1,DEL → BOM → COK,02:15,04:25 07 Mar,26h 10m,1,No info,17024
2,1/05/2019,1,Banglore,CCU → DEL → BLR,09:35,14:25 02 May,28h 50m,1,In-flight meal not included,9314
0,24/03/2019,4,2,BLR → DEL,00:40,03:25,2h 45m,0,No info,4777
1,9/06/2019,1,Banglore,CCU → BBI → BLR,12:00,13:15 10 Jun,25h 15m,1,No info,7662
0,9/05/2019,0,1,DEL → HYD → COK,06:50,16:10,9h 20m,1,No info,6442
0,12/06/2019,0,1,DEL → PNQ → COK,08:45,13:15,4h 30m,1,No info,5264
2,27/05/2019,0,1,DEL → BOM → COK,13:00,04:25 28 May,15h 25m,1,In-flight meal not included,12898
1,3/03/2019,2,3,BOM → HYD,13:55,15:25,1h 30m,0,No info,6092
0,21/05/2019,4,0,BLR → DEL,05:55,08:35,2h 40m,0,No info,3311
2,27/03/2019,0,1,DEL → BOM → COK,19:15,04:25 28 Mar,9h 10m,1,In-flight meal not included,6540
0,27/05/2019,4,0,BLR → DEL,01:30,04:15,2h 45m,0,No info,3419
2,3/04/2019,0,1,DEL → BOM → COK,14:00,12:35 04 Apr,22h 35m,1,In-flight meal not included,5177
1,18/04/2019,0,1,DEL → COK,18:05,21:10,3h 5m,0,No info,8246
2,9/06/2019,1,Banglore,CCU → DEL → BLR,09:35,21:05,11h 30m,1,No info,14676
3,27/06/2019,0,1,DEL → BOM → COK,11:30,21:00,9h 30m,1,No info,13587
2,6/05/2019,1,Banglore,CCU → BOM → BLR,21:10,09:20 07 May,12h 10m,1,In-flight meal not included,9663
2,12/06/2019,1,Banglore,CCU → BOM → BLR,16:30,10:05 13 Jun,17h 35m,1,No info,13044
0,3/04/2019,0,1,DEL → BOM → COK,20:25,01:30 04 Apr,5h 5m,1,No info,5073
1,21/05/2019,1,Banglore,CCU → DEL → BLR,17:00,18:50 22 May,25h 50m,1,No info,9345
2,6/05/2019,1,Banglore,CCU → BOM → BLR,14:05,10:05 07 May,20h,1,In-flight meal not included,9663
3,21/05/2019,0,1,DEL → BOM → COK,08:00,21:00,13h,1,No info,14277
2,1/06/2019,0,1,DEL → BOM → COK,10:00,04:25 02 Jun,18h 25m,1,In-flight meal not included,10262
2,27/03/2019,2,3,BOM → HYD,19:35,21:05,1h 30m,0,No info,5678
3,15/05/2019,0,1,DEL → BOM → COK,16:00,01:30 16 May,9h 30m,1,No info,13727
2,6/05/2019,1,Banglore,CCU → BOM → BLR,20:00,12:00 07 May,16h,1,In-flight meal not included,9663
0,12/05/2019,3,4,MAA → CCU,14:45,17:05,2h 20m,0,No info,3858
0,24/06/2019,0,1,DEL → PNQ → COK,08:45,13:15,4h 30m,1,No info,4812
0,27/06/2019,0,1,DEL → LKO → COK,21:50,03:35 28 Jun,5h 45m,1,No info,5775
2,6/06/2019,1,Banglore,CCU → DEL → BLR,09:35,09:45 07 Jun,24h 10m,1,In-flight meal not included,10539
0,3/06/2019,1,Banglore,CCU → BLR,15:30,18:05,2h 35m,0,No info,4804
4,12/06/2019,4,0,BLR → DEL,11:10,13:55,2h 45m,0,No info,3383
0,03/03/2019,4,2,BLR → HYD → DEL,12:10,17:05,4h 55m,1,No info,8738
1,27/03/2019,0,1,DEL → TRV → COK,05:15,06:50 28 Mar,25h 35m,1,No info,7165
0,24/06/2019,0,1,DEL → HYD → COK,16:10,22:30,6h 20m,1,No info,6412
2,27/06/2019,4,0,BLR → DEL,18:55,22:00,3h 5m,0,No info,8016
2,12/03/2019,4,2,BLR → BOM → DEL,20:35,15:15 13 Mar,18h 40m,1,In-flight meal not included,11087
0,27/06/2019,3,4,MAA → CCU,09:45,12:00,2h 15m,0,No check-in baggage included,3543
2,12/06/2019,1,Banglore,CCU → BOM → BLR,16:30,04:40 13 Jun,12h 10m,1,No info,12471
2,24/06/2019,0,1,DEL → BOM → COK,09:00,04:25 25 Jun,19h 25m,1,In-flight meal not included,10262
1,18/03/2019,4,2,BLR → DEL,13:20,16:10,2h 50m,0,No info,4441
3,27/03/2019,0,1,DEL → BOM → COK,07:05,15:30,8h 25m,1,No info,12537
2,24/03/2019,1,Banglore,CCU → BOM → BLR,22:25,07:40 25 Mar,9h 15m,1,No info,10091
1,3/06/2019,4,0,BLR → DEL,21:05,23:55,2h 50m,0,No info,6961
0,24/04/2019,0,1,DEL → COK,05:35,08:50,3h 15m,0,No info,5013
1,18/05/2019,0,1,DEL → COK,05:10,08:00,2h 50m,0,No info,6934
3,3/06/2019,0,1,DEL → BOM → COK,06:40,19:00,12h 20m,1,No info,10877
2,18/04/2019,4,0,BLR → DEL,15:15,18:10,2h 55m,0,No info,7229
0,27/03/2019,0,1,DEL → BOM → COK,16:00,01:35 28 Mar,9h 35m,1,No info,7048
1,27/06/2019,4,0,BLR → DEL,17:00,19:35,2h 35m,0,No info,4878
2,21/05/2019,1,Banglore,CCU → BOM → BLR,14:05,23:35,9h 30m,1,In-flight meal not included,10844
2,18/05/2019,0,1,DEL → AMD → BOM → COK,23:05,04:25 20 May,29h 20m,2,No info,15129
0,12/05/2019,4,0,BLR → DEL,00:30,03:25,2h 55m,0,No info,3943
0,6/06/2019,0,1,DEL → MAA → COK,06:05,11:20,5h 15m,1,No info,5583
3,6/06/2019,0,1,DEL → HYD → COK,07:05,16:10,9h 5m,1,No info,9646
3,3/06/2019,0,1,DEL → BOM → COK,08:30,19:15,10h 45m,1,No info,7677
0,1/06/2019,0,1,DEL → BLR → COK,05:10,10:05,4h 55m,1,No info,6842
2,24/06/2019,2,3,BOM → HYD,08:45,10:15,1h 30m,0,In-flight meal not included,4995
1,9/06/2019,1,Banglore,CCU → DEL → BLR,07:10,18:50,11h 40m,1,No info,9555
0,1/06/2019,4,0,BLR → DEL,01:30,04:15,2h 45m,0,No info,4077
2,12/05/2019,4,0,BLR → DEL,15:15,18:10,2h 55m,0,No info,7229
3,9/06/2019,0,1,DEL → BOM → COK,09:00,19:00,10h,1,No info,12192
1,12/04/2019,4,0,BLR → DEL,10:00,12:45,2h 45m,0,No info,5911
1,12/06/2019,0,1,DEL → BOM → COK,09:00,19:15,10h 15m,1,No info,8372
2,18/03/2019,2,3,BOM → HYD,07:10,08:35,1h 25m,0,In-flight meal not included,4995
3,9/05/2019,0,1,DEL → BOM → COK,10:00,19:15,9h 15m,1,No info,14323
2,9/06/2019,0,1,DEL → JAI → BOM → COK,05:30,04:25 10 Jun,22h 55m,2,No info,13014
1,6/06/2019,0,1,DEL → CCU → BOM → COK,14:25,19:15 07 Jun,28h 50m,2,No info,13591
2,3/03/2019,0,1,DEL → IDR → BOM → COK,05:25,18:50 04 Mar,37h 25m,2,No info,18799
0,27/04/2019,4,0,BLR → DEL,23:30,02:20 28 Apr,2h 50m,0,No info,3943
0,21/05/2019,2,3,BOM → HYD,05:45,07:15,1h 30m,0,No check-in baggage included,1965
2,27/05/2019,2,3,BOM → HYD,10:20,11:50,1h 30m,0,In-flight meal not included,4995
1,24/03/2019,1,Banglore,CCU → BOM → BLR,16:50,18:30 25 Mar,25h 40m,1,No info,14641
1,12/04/2019,1,Banglore,CCU → BLR,20:45,23:20,2h 35m,0,No info,4460
1,18/05/2019,0,1,DEL → BOM → COK,13:00,19:15,6h 15m,1,No info,10191
2,9/03/2019,0,1,DEL → BOM → COK,02:15,19:45,17h 30m,1,In-flight meal not included,13843
0,1/05/2019,0,1,DEL → LKO → COK,21:50,03:35 02 May,5h 45m,1,No info,6349
4,1/05/2019,1,Banglore,CCU → BLR,10:20,12:55,2h 35m,0,No info,4409
2,6/03/2019,0,1,DEL → BOM → COK,18:15,19:45 07 Mar,25h 30m,1,No info,17024
3,18/05/2019,0,1,DEL → BOM → COK,07:05,21:00,13h 55m,1,No info,13727
0,15/03/2019,4,2,BLR → DEL,18:25,21:20,2h 55m,0,No info,8855
3,24/06/2019,0,1,DEL → BOM → COK,08:45,19:00,10h 15m,1,No info,12524
2,18/03/2019,4,2,BLR → BOM → DEL,11:40,20:20,8h 40m,1,No info,13555
2,6/06/2019,1,Banglore,CCU → BOM → BLR,06:30,12:00,5h 30m,1,In-flight meal not included,10844
3,9/06/2019,0,1,DEL → BOM → COK,09:00,21:00,12h,1,No info,13587
0,12/06/2019,3,4,MAA → CCU,09:45,12:00,2h 15m,0,No check-in baggage included,3543
1,18/03/2019,3,4,MAA → CCU,07:05,09:20,2h 15m,0,No info,4842
0,24/04/2019,4,0,BLR → DEL,23:30,02:20 25 Apr,2h 50m,0,No info,3943
2,9/06/2019,0,1,DEL → BOM → COK,19:15,04:25 10 Jun,9h 10m,1,In-flight meal not included,10577
0,15/05/2019,0,1,DEL → BOM → COK,10:35,21:00,10h 25m,1,No info,6979
1,27/06/2019,3,4,MAA → CCU,17:45,20:05,2h 20m,0,No info,11982
0,6/06/2019,0,1,DEL → PNQ → COK,08:45,13:15,4h 30m,1,No info,5264
1,3/03/2019,0,1,DEL → COK,06:00,09:10,3h 10m,0,No info,8001
1,1/06/2019,0,1,DEL → AMD → BOM → COK,19:45,19:15 02 Jun,23h 30m,2,No info,10651
2,24/05/2019,1,Banglore,CCU → BOM → BLR,16:30,19:50 25 May,27h 20m,1,In-flight meal not included,10844
3,27/03/2019,0,1,DEL → HYD → COK,09:45,22:20,12h 35m,1,No info,6601
1,21/03/2019,0,1,DEL → BOM → COK,19:00,19:15 22 Mar,24h 15m,1,No info,6587
0,21/03/2019,2,3,BOM → HYD,13:10,14:30,1h 20m,0,No info,3173
1,9/05/2019,4,0,BLR → DEL,10:00,12:45,2h 45m,0,No info,5228
2,21/06/2019,4,0,BLR → DEL,07:10,10:10,3h,0,In-flight meal not included,5769
2,6/06/2019,0,1,DEL → BOM → COK,08:00,19:00,11h,1,No info,14714
2,3/06/2019,0,1,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2,No info,13014
0,3/06/2019,4,0,BLR → DEL,22:10,01:00 04 Jun,2h 50m,0,No info,3359
2,03/03/2019,4,2,BLR → DEL,20:55,23:50,2h 55m,0,No info,6722
0,18/03/2019,1,Banglore,CCU → BLR,09:35,12:20,2h 45m,0,No info,4462
0,9/03/2019,0,1,DEL → HYD → COK,04:55,16:10,11h 15m,1,No info,6171
1,21/05/2019,1,Banglore,CCU → IXR → DEL → BLR,05:50,20:25,14h 35m,2,No info,12303
3,21/03/2019,0,1,DEL → BOM → COK,11:40,01:35 22 Mar,13h 55m,1,No info,7695
0,24/06/2019,0,1,DEL → BOM → COK,11:25,01:30 25 Jun,14h 5m,1,No info,5684
1,12/06/2019,1,Banglore,CCU → BOM → BLR,16:50,07:55 13 Jun,15h 5m,1,No info,8366
1,1/03/2019,3,4,MAA → CCU,11:40,13:55,2h 15m,0,No info,19630
2,06/03/2019,4,2,BLR → BOM → DEL,14:05,05:05 07 Mar,15h,1,In-flight meal not included,13502
2,1/05/2019,1,Banglore,CCU → BOM → BLR,21:10,10:05 02 May,12h 55m,1,No info,14781
3,12/06/2019,0,1,DEL → HYD → COK,07:10,16:10,9h,1,No info,6513
1,1/06/2019,0,1,DEL → BOM → COK,07:00,19:15,12h 15m,1,No info,9929
3,6/06/2019,0,1,DEL → IXU → BOM → COK,17:50,01:30 07 Jun,7h 40m,2,No info,18275
1,9/04/2019,0,1,DEL → MAA → COK,06:05,09:25 10 Apr,27h 20m,1,No info,4487
0,15/03/2019,2,3,BOM → HYD,21:20,22:45,1h 25m,0,No info,2754
1,27/03/2019,2,3,BOM → HYD,06:20,07:40,1h 20m,0,No info,2575
0,12/06/2019,1,Banglore,CCU → IXB → BLR,15:55,21:25,5h 30m,1,No info,8224
1,9/03/2019,0,1,DEL → BLR → COK,20:30,08:15 10 Mar,11h 45m,1,No info,8991
0,24/06/2019,0,1,DEL → COK,05:35,08:50,3h 15m,0,No info,5000
